Region,crime,felony,high_education,population,revenue,unemployment,birthrate
томская область,18578.0,4373.0,5080.0,1068304.0,26232.0,"14,7","1,31"
тульская область,15826.0,4503.0,4417.0,1432570.0,26257.0,"10,3","1,2"
тюменская обл. (без а/о),23591.0,6906.0,пусто,пусто,пусто,пусто,пусто
тюменская область,пусто,пусто,12418.0,3806505.0,42552.0,"12,1","1,74"
тюменская область (кроме ханты-мансийского автономного округа-югры и ямало-ненецкого автономного округа),пусто,пусто,пусто,пусто,пусто,пусто,"1,73"
тюменская область (с а/о),50624.0,15266.0,пусто,пусто,пусто,пусто,пусто
тюменская область без авт. округов,пусто,пусто,пусто,пусто,пусто,"14,6",пусто
тюменская область без авт.округов,пусто,пусто,пусто,пусто,26594.0,пусто,пусто
тюменская область без автономных округов,пусто,пусто,пусто,1552148.0,пусто,пусто,пусто
удмуртская республика,24583.0,7203.0,5230.0,1484460.0,23905.0,"12,0","1,53"
ульяновская область,12159.0,3353.0,4047.0,1203969.0,22731.0,"15,3","1,4"
уральский фед.округ,178746.0,46235.0,пусто,пусто,пусто,пусто,пусто
уральский федеральный округ,пусто,пусто,32503.0,12294961.0,32924.0,пусто,"1,62"
"фт ""сириус""",819.0,349.0,пусто,пусто,пусто,пусто,пусто
хабаровский край,21312.0,5518.0,5632.0,1298978.0,36673.0,"12,2","1,56"
ханты-мансийский авт.округ,пусто,пусто,пусто,пусто,46768.0,пусто,пусто
ханты-мансийский автономный округ - югра (тюменская область),пусто,пусто,пусто,пусто,пусто,пусто,"1,71"
ханты-мансийский автономный округ — югра,пусто,пусто,4310.0,пусто,пусто,пусто,пусто
ханты-мансийский автономный округ-югра,пусто,пусто,пусто,1702240.0,пусто,пусто,пусто
ханты-мансийский ао - югра,20376.0,6177.0,пусто,пусто,пусто,пусто,пусто
центральный фед.округ,450461.0,133423.0,пусто,пусто,пусто,пусто,пусто
центральный федеральный округ,пусто,пусто,137999.0,39104400.0,39592.0,пусто,"1,34"
челябинская область,62844.0,15256.0,8075.0,3418606.0,23647.0,"12,8","1,47"
чеченская республика,2416.0,671.0,3220.0,1516387.0,22854.0,"20,5","2,59"
чувашская республика,12730.0,3665.0,4322.0,1198429.0,17767.0,"17,8",пусто
чувашская республика - чувашия,пусто,пусто,пусто,пусто,пусто,пусто,"1,51"
чукотский авт.округ,пусто,пусто,пусто,пусто,69211.0,"8,5",пусто
чукотский автономный округ,пусто,пусто,1087.0,50040.0,пусто,пусто,"1,75"
чукотский ао,853.0,263.0,пусто,пусто,пусто,пусто,пусто
южный фед.округ,217597.0,54519.0,пусто,пусто,пусто,пусто,пусто
южный федеральный  округ,пусто,пусто,пусто,пусто,пусто,пусто,пусто
южный федеральный округ,пусто,пусто,37399.0,16434898.0,26202.0,пусто,пусто
южный федеральный округ (с 29.07.2016),пусто,пусто,пусто,пусто,пусто,пусто,"1,44"
ямало-ненецкий авт.округ,пусто,пусто,пусто,пусто,75414.0,пусто,пусто
ямало-ненецкий автономный округ,пусто,пусто,3785.0,552117.0,пусто,"5,5",пусто
ямало-ненецкий автономный округ (тюменская область),пусто,пусто,пусто,пусто,пусто,пусто,"1,91"
ямало-ненецкий ао,6657.0,2183.0,пусто,пусто,пусто,пусто,пусто
ярославская область,18368.0,4137.0,4502.0,1227383.0,26997.0,"10,1","1,39"
